WBID,CLASS
1003,0
1006A,3
1006B,0
1006C,0
1022A,0
1022B,0
1039A,0
1040B,0
1040D,0
1040E,0
1056A,0
1084B,0
10EA,0
1133A,1
1149,0
1165A,1
1176A,0
1259A,1
1297X,1
1297Y,1
1297Z,1
1324A,0
1329B,2
1329F1,0
1329H,3
1329J,3
1329K,2
1329L,1
1329M,1
1329N,1
1329O,0
1329P,1
1329Q,0
1329T,2
1329V,2
1329W,2
1329X,2
1329Y,1
1329Z,1
1334A,0
1340A,1
1340B,2
1340C,2
1340D,1
1340E,2
1340F,1
1340G,1
1340H,2
1340I,0
1340J,1
1340K,1
1340L,2
1340M,1
1340N,1
1340O,1
1340P,1
1340Q,1
1340R,1
1340S,1
1340T,1
1340U,1
1340V,1
1340W,1
1342A,3
1342B,0
1342X,0
1342Y,0
1342Z,2
1345E,0
1347,2
1347B,1
1349A,2
1350A,0
1351B,1
1352A,0
1359A,0
1359B,0
1361A,2
1370,0
1371A,3
1377A,0
1378A,1
1381A,1
1381X,0
1382C,3
1382D,0
1382E,1
1384A,2
1385A,0
1388A,0
1390A,1
1391,2
1392,2
1392A,2
1392B,3
1392C,1
1392D,2
1392E,0
1392F,0
1396A,1
1401A,0
1402A,1
1402B,0
1402C,0
1402D,0
1403,2
1403A,0
1406B,0
1409A,2
1415,0
1418A,1
1420A,0
1420B,0
1422,0
1423A,3
1423B,3
1424,0
1432A,1
1436A,0
1438A,0
1440B,2
1440C,2
1440D,0
1443H,1
1449A,2
145,3
1450A,0
1450B,0
1451A,2
1451B,0
1451C,0
1451D,2
1451E,2
1451F,0
1451G,0
1451H,0
1451I,0
1451J,0
1451T,0
1451V,2
1451W,0
1451X,0
1451Y,0
1451Z,0
1453A,0
1456A,3
1456B,2
1456C,2
1456Y,0
1459,1
1463A,1
1463C,0
1463D,1
1463E,2
1463F,0
1463G,0
1463H,1
1463I,0
1463J,2
1463K,0
1463L,0
1463M,1
1463N,0
1463P,1
1463Q,0
1463R,1
1463Z,1
1464,0
1464A,1
1464B,0
1464C,0
1464D,0
1464V,3
1464W,3
1464X,0
1464Y,0
1465A,0
1466,3
1466A1,2
1467,1
1467A,0
1468A,0
1472B,1
1473A,1
1473B,0
1473W,3
1473X,0
1473Y,3
1473Z,0
1474A,3
1474B,0
1474C,2
1474T,0
1474U,3
1474V,0
1474W,1
1474X,3
1474Y,0
1475A,1
1476,1
1478A,0
1478B,2
1478C,0
1478D,1
1478E,0
