WBID,PLANNING_UNIT,GROUP_NAME,WATERBODY_NAME,WATERBODY_SIZE,UNITS,WATER_TYPE,CLASS,PERIMETER
2105A,Middle St. Marys River,Nassau - St. Marys,HAMPTON LAKE,0.08326,sq. miles,LAKE,3F,2541.11945335
2392,Upper St. Marys River,Nassau - St. Marys,PALESTINE LAKE,1.44057,sq. miles,LAKE,3F,9089.08111645
2339,Upper St. Marys River,Nassau - St. Marys,OCEAN POND,2.81813,sq. miles,LAKE,3F,10189.37557136
2893D,Lake Monroe,Middle St. Johns,LAKE MONROE,13.94531,sq. miles,LAKE,3F,38668.86307479
2893D3,Lake Monroe,Middle St. Johns,MULLET LAKE (NEAR GEMINI SPRINGS),0.09465,sq. miles,LAKE,3F,2054.12709055
2893W,Lake George,Middle St. Johns,LAKE PIERSON,0.16257,sq. miles,LAKE,3F,2917.47772673
2892,Lake George,Middle St. Johns,LAKE MARGARET,0.64287,sq. miles,LAKE,3F,6172.23876713
2892A,Lake George,Middle St. Johns,LAKE COMO,0.37235,sq. miles,LAKE,3F,10832.97979897
2892B,Lake George,Middle St. Johns,BANANA LAKE,0.053,sq. miles,LAKE,3F,2265.45121055
2893F1,Deep Creek MSJR,Middle St. Johns,LAKE COCKRAN,0.09909,sq. miles,LAKE,3F,3341.83846672
2893G,Lake Monroe,Middle St. Johns,GLEASON LAKE,0.16668,sq. miles,LAKE,3F,6551.41639514
2893H,Deep Creek MSJR,Middle St. Johns,MULLET LAKE,0.22661,sq. miles,LAKE,3F,8132.427501820000
2893I,Puzzle Lake,Upper St. Johns,ST JOHNS RIVER ABOVE PUZZLE LAKE,0.2122,sq. miles,LAKE,3F,62750.45183299
2893J,Deep Creek MSJR,Middle St. Johns,MUD LAKE,0.12324,sq. miles,LAKE,3F,3117.96274367
2893K,Lake Poinsett,Upper St. Johns,LAKE POINSETT,6.68145,sq. miles,LAKE,3F,41238.37821689
2893L,Lake Poinsett,Upper St. Johns,ST JOHNS RIVER ABOVE LAKE POINSETT,0.22533,sq. miles,LAKE,3F,35131.29083022
2893M,Lake Monroe,Middle St. Johns,THORNHILL LAKE,0.0945,sq. miles,LAKE,3F,5818.90382083
2893V,Blue Cypress Creek,Upper St. Johns,BLUE CYPRESS LAKE,10.36344,sq. miles,LAKE,1,23085.75337639
2893B1,Lake Woodruff,Middle St. Johns,HORSESHOE MUD LAKE,0.09061,sq. miles,LAKE,3F,2068.21699079
29061,Lake Woodruff,Middle St. Johns,SHAW LAKE,0.22523,sq. miles,LAKE,3F,4480.03646835
2908A,Lake Woodruff,Middle St. Johns,LAKE ODOM,0.10488,sq. miles,LAKE,3F,2206.60055614
2908B,Lake Woodruff,Middle St. Johns,LAKE CLIFTON,0.16758,sq. miles,LAKE,3F,3506.0770503
2912B,Lake Woodruff,Middle St. Johns,STONE POND,0.04723,sq. miles,LAKE,3F,2079.07872062
2893X,St. Johns Marsh,Upper St. Johns,ST JOHNS RIVER ABOVE SAWGRASS LAKE,0.14023,sq. miles,LAKE,1,57216.47433157
2893N,Lake Poinsett,Upper St. Johns,ST JOHNS RIVER ABOVE LAKE WINDER,0.51662,sq. miles,LAKE,3F,72362.87730112000
2893O,St. Johns Marsh,Upper St. Johns,LAKE WASHINGTON,4.68604,sq. miles,LAKE,1,20380.44317787
2893Q,St. Johns Marsh,Upper St. Johns,LAKE HELEN BLAZES,0.3833,sq. miles,LAKE,1,6450.88224385
2893U,Lake Woodruff,Middle St. Johns,LAKE BERESFORD,1.19423,sq. miles,LAKE,3F,11213.92491304
2892C,Lake George,Middle St. Johns,LAKE ESTELLA,0.12966,sq. miles,LAKE,3F,3907.52682062
28932,Puzzle Lake,Upper St. Johns,LAKE CONE AT SEMINOLE,0.39154,sq. miles,LAKE,3F,8798.56556884
2893A,Lake George,Middle St. Johns,LAKE GEORGE,68.08772000000000,sq. miles,LAKE,3F,58048.92456155
